ulasan,rating,sentiment
Banyak cctv yg tidak bisa menampilkan kondisi setiap simpang.. Dan beberapa yg menampilkanpun gambarnya tidak jelas dan posisi yg dipantau juga tidak jelas (ada yg hanya menampilkan posisi trotoar)... Hmmm,2,negatif
"1 bintang dulu ya. Tiang sudah dari kemarin download tapi selalu tidak bisa registrasi (terjadi kesalahan). Sudah coba tengah malam dgn harapan server sepi, tapi hasilnya sama. Tadi jam 5.30 pagi tiang coba, masih blm bisa juga, tolong di perbaiki inggih. Apalagi mangkin urus apa2 lewat online, suksma admin",1,negatif
"Saat membuat pengaduan aplikasi tiba2 crash dan logout secara tiba2 dan saat mau buat pengaduan ulang , hal yg sama terjadi lagi. Mohon disempurnakan lagi aplikasi ini",1,negatif
"menu Daftar masih eror, Menu Live CCTV masih Eror, menu Info Berita ketika melakukan pencarian info mendadak keluar ke menu utama masih eror pencarian beritanya, eror ini terjadi di Hp Oppo F9 dengan versi android 8.1.0",2,negatif
"Saya sudah donlod dan gak berguna sama skali, mau daftar tapi slalu muncul kalimat ""Terjadi kesalahan server"", klik Antrian Online Capil terlalu banyak cincong, katanya antrian dibuka mulai Senin sampai Kamis jam 7 pagi, pas Minggu coba lagi muncul notif bilang layanan untuk Sabtu dan Minggu ditiadakan. Rempong, useless!!! Uninstal aja aplikasi gak guna.",1,negatif
"Tidak.bisa di akses ..udah berhasil daftar tp pas mau log in malahan email salah😔saya cuma mau minta ke adilan kita sudah keluar dari HOTEL TAMAN SUCI DENPASAR,per 17 oktober 2019 tp selama bulan ( july - oktober ) gaji kami tak terbayarkan dan fatalnya sampai detik bulan january 2020 tidak ada etika melunasi hak"" kami....🙏🏼🙏🏼🙏🏼kami hanya ingin mengadu ke disnaker saja karena dari pihak mereka sudah tidak respon sama sekali,terima kasih",1,negatif
"aplikasi jelek, susah diakses",1,negatif
aplikasi sangat bermanfaat dan mudah digunakan,5,positif
"Aplikasi setengah2, kalo emang niat buat sistem, buat semuanya praktis jd satu aplikasi, jangan kyk yg sekarang, klik 1 menu di arahkan nginstal aplikasi lain lagi.",1,negatif
Tolong segera perbaiki apps nya ...selalu keluar terjadi kesalahan server setiap kali daftar login ...suksma,1,negatif
utk laporan keluhan online..tdk bisa di buka..krn.server tdk menanggapi padahal kita sudah login berulang ulang kali di coba..tp tdk berhasil login..mohon diatensi..!!,1,negatif
"Aplikasi selalu gagal... Sewaktu Registrasi..kirim kode OTP sering gagal... Mw log in pdhal email dn pasword benar... gagal Mncoba ganti pasword..juga gagal Mau ngaduin keluhan, msti pakai aplikasi ini...tp gmn bs aduin..log in aj gagal mulu",1,negatif
"Aplikasi nasbedag.... lambat, user dan pass dinotif salah terus. Ganti pass susah. Asal buat tp tdk evaluasi keandalan sistem.",1,negatif
"Percuma bikin aplikasi, kl aplikasi lama aja bisa sulit di buka, mungkin sengaja aplikasi sulit di buka agar tdk di kritik, sangat buruk",1,negatif
"Sudah masukkan data di daftar, masih login tidak terdaftar..... Jelek harus di update sepertinya aplikasi error",1,negatif
"Di update mala gk bisa di buka cctv onlinenya.. Eror terus....kalau bikin aplikasi tolong di benerin yg bener"" bisa bermanfaat..mala ngabosin kouta",2,negatif
Aplikasi ga bs login....tidak bs memaksukan poto baik dari selfi langsung...maupun dari galery... Coba dah dicek kembali...!,1,negatif
"Saya sudah req cuti untuk urus akta nikah dimana sebagai karyawan swasta sangat susah untuk dapat cuti, tetapi untuk urus antrian tampilan aplikasi tidak ada antrian online dan web juga tidak bisa diakses, inikah birokrasi pelayanan publik yang baik???",1,negatif
Waktu mau daftar katanya sudah terdaftar. Setelah itu mau log in trs tulisannya akun anda belum terdaftar . Tolong di benahi,1,negatif
"Tidak bisa login, email/pasword sll tidak ditemukan padahal pendaftaran berhasil",3,negatif
tidak bisa buat akun baru. pesan kesalahan sistem terus muncul. tolong segera perbaiki. dan tolong buatkan utk platform ios.,1,negatif
Tolong perbaiki agar masyarakat bisa menggunakannya lebih mudah. Saya coba tulis keluhan tapi tidak bisa di post. Selalu gagal.,1,negatif
ada apa dgn apk ini login gk bisa register gk bisa. terus aja kesalahan server.,1,negatif
Registrasi sukses tapi tidak bisa login bagaimana cara untuk menyampaikan keluhan untuk kinerja prov.Denpasar,1,negatif
"Dukcapil nya selalu eror, tolong diperbaiki, disuruh bikin online tp aplikasinya malah eror",2,negatif
mau liat live cctv tapi tulisannya aplikasi berhenti.. harap di perbaiki,3,negatif
pada prosea pelampiran file tidak dpat di buka atau di akses,3,negatif
Tolong diperbaiki aplikasinya karena tidak bisa registrasi,1,negatif
jelek ga bisa login,1,negatif
"ndak bisa daftar baru, server rusak? apa aplikasi sudah non aktif?",1,negatif
Semoga bermanpaat untuk orang banyak dan mempermudah mendapatkan informasi,5,positif
"Sangat membantu dan mudah digunakan untuk kinerja aparatur sipil negara, terima kasih",5,positif
"tidak bisa daftar, server error.. mungkin warga tidak bisa mengeluh",1,negatif
login susah tolong diperbaiki,1,negatif
"Kenapa susah sekali login, padahal sudah daftar",1,negatif
Gak ada data ATCS untuk cek kemacetan jalan,1,negatif
"aplikasi error, saya tidak bisa login",2,negatif
"kok gabisa dibuka yaa, selalu tulisannya dps dps trs",1,negatif
gak bisa daftar.aplikasi mulai gagal,1,negatif
Coba dr website atau aplikasi sama² tidak bisa reset password.,1,negatif
ketika mau memasukkan foto. aplikasi keluar sendiri.,1,negatif
Aplikasi yg membuat pelayanan kepada masyarakat menjadi lebih cepat,5,positif
Aplikasi ini sangat bermanfaat untuk mendapatkan pelayanan informasi yang cepat bagi masyarakat👍👍,5,positif
Aplikasi Pemkot Denpasar yg inovatif dan kreatif berbasis digital,5,positif
"Gak ngerti,ini udah 5hari aku otak Atik tetep aja katanya NIK,paswd,NKK salah.",1,negatif
1 bintang gak cocok sih. Log in gk bisa gmn mau ngurus online,1,negatif
"Terobosan yang bagus. Untuk developer, agar kritik dari masyarakat juga diperhatikan untuk kelancaran semuanya. Salut Pemkot dengan dana minimal (dipotong COVID 19) berusaha melakukan yang terbaik untuk pelayanan masyarakat.",5,positif
Pro Denpasar wadah informasi & kreatifitas sangat bermanfaat bagi masyarakat. Memang top & kerennn,5,positif
Wadah kreatifitas dan informasi yg bermanfaar bagi masyarakat Kereeenn habisss,5,positif
program apa ini daftar ga bisa gimana mau lapor? gimana mau maju kotanya... tolong diperbaiki,1,negatif
Untuk sign up syaratnta harus kirim foto selfie dg ktp ya?!,1,negatif
Pro denpasar membantu dalam memberikan pelayanan kepada masyarakat dengan baik dan cepat,5,positif
"Sangat buruk, tidak berfungsi",1,negatif
